stat, value, width, code, quant, switch
Rain, 742.54,6,F{A*8WTqGO,2286,On
Breeze, 876.78,17,Y{T*4PW}SE,1695,On
Hail, 671.75,7,H{D*8UD}PR,1188,On
Breeze, 927.81,5,X{M*7UI}KN,1083,Off
Sleet, 681.89,9,U{5*7XF}YP,1946,On
Sleet, 941.27,5,N{Q*6KD}XB,28,On
Cloud, 997.11,6,M{X*5UZ}EL,1556,On
Sleet, 737.01,22,R{M*2VF}LR,2218,On
Sun, 347.23,7,Y{M*7YA}HI,232,On
Rain, 806.89,22,B{A*6ZO}RI,988,On
Sleet, 811.92,5,O{Yb1SR}WI,2269,On
Fog, 710.77,8,C{P*9LZ}YS,1450,On
Rain,  43.62,23,G{D*6DE}SC,2156,On
Fog,  57.36,7,X!{T*9JH}AO,1761,Off
Sun,1019.31,6,F{V*SS}FF,1265,Off
Breeze,  43.72,6,Z{Y*4IAZMX,1099,Off
Cloud, 852.20,5,H{S*1KB}VF,1919,On
Mist, 986.00,8,S{X*7YT}QS,1325,Off
Shower, 707.21,5,N{G*4MG}YB,828,On
Fog,1124.04,7,R{T*4GP}EU,1041,On
Sleet,1184.25,5,J{E*9AY}HN,1598,On
Snow, 955.43,5,E{Y*9AT}ZW,375,On
Cloud,1095.41,5,P{A*9LJ}KB,802,On
Sun, 494.40,6,C{M*4LC}TS,1820,Off
Cloud, 316.56,5,Y{N*3BU}KW,2264,Off
Fog, 530.35,8,P{U*7MY}PY,65,On
Shower, 131.05,8,B{O*1UD}MI,1830,On
Rain, 884.91,6,S{U*7WM}IW,413,On
Rain, 299.65,7,Z{C*3KM}QN,1899,On
Sun, 861.03,8,W{Q*5XD}YD,2144,On
Cloud, 437.26,8,P{S*5SG}VM,1601,On
Cloud, 405.34,7,S{D*3XY}AQ,1405,On
Snow,1216.74,5,N{O*5KE}M,805,On
Fog, 965.70,6,Q7{J*7IH}CN,272,On
Wind, 374.08,7,Y{G*9YX}IT,1961,On
Fog, 258.77,7,F{Q*6RP}WD,2217,On
Rain, 743.84,5,V{E*6GT}WH,1786,On
Cloud,1075.11,7,T{V*9BJ}GP,1332,On
Rain, 143.21,8,H{H*6SR}TS,1700,On
Rain,  91.68,6,I{T*1BT}GX,1758,On
Moon,1151.96,8,B{G*9RX}TN,1871,On
Cloud,1149.79,16,X{S*9NZ}HB,1942,On
Cloud, 937.11,6,F{A*9JL}UZ,555,Off
Snow, 331.34,5,I{O*3MZ}GU,567,On
Rain,1119.60,7,W{G*4WR}UE,576,On
Breeze, 716.65,7,A{D*5YF}FR,632,On
Snow, 706.68,8,W{D*4TQ}SG,632,On
Fog, 919.75,6,R{L*0YB}BG,1656,On
Rain, 458.02,7,N{I*3QJ}JK,1494,On
Fog,1201.71,6,M{U*1JE}+I,1562,On
Wind, 660.04,8,B{U*02X}LP,2223,Off
Cloud, 315.57,5,U{R*6TM}PH,847,On
Sky, 751.18,23,O{R*6KH}VI,1400,Off
Cloud,1119.56,8,H{Y*0KL}QI,1589,Off
Fog, 224.60,19,E{Q*1RU}PO,1677,Off
Snow, 544.15,14,8G{K*0LK}OM,1377,On
Breeze, 677.30,8,U{G*9SLlKE,2129,On
Shower, 736.36,5,F{W*8MA}VZ,2297,Off
Snow, 891.98,8,X{Z*0LS}PD,2,On
Shower,1148.37,6,R{D*0QY}WL,1145,On
Breeze, 765.63,7,W{C*6F!}DA,1178,Off
Sky, 165.41,6,Z{P*0MT}FU,1247,On
Shower,1205.88,14,W{T*1QZ}QA,30,On
Breeze, 793.15,8,G{E*6MN}NM,1710,On
Cloud, 480.56,6,J{V*7FI}JJ,1854,On
Cloud, 352.06,10,I{J*3IC}TV,2227,Off
Breeze, 143.09,12,Q{D*5BN}GT,2273,On
Fog, 894.46,7,U{Y*0OF}KW,1350,On
Fog, 672.70,5,B{Z*8RG}GK,2228,On
Breeze,1023.51,7,S{R*0SW}OE,1995,On
Cloud, 763.36,5,A{N*7TO}IF,1,On
Fog, 805.04,7,Y{N*5RE}JK,439,On
Breeze, 920.57,8,V{U*4XY}KY,1059,On
Cloud, 108.52,7,NcM*7AA}VJ,1586,On
Fog,1067.19,7,C{P*5XS}CC,602,On
Cloud,  99.99,7,F{Z*9NL}QS,815,On
Cloud, 910.60,8,Y{O*0KD}AW,1397,On
Hail,1120.22,7,V{F*1JN}VC,1611,On
Sleet, 701.16,8,E{fF*3IL}RG,1929,On
Snow, 514.07,20,U{Pg6VD}UE,2182,On
Shower, 238.27,8,K{K*6QK}HH,2199,Off
Wind,1164.14,7,B{R*7UU}UC,454,On
Sun, 811.02,23,J{K*2AS}DW,2270,On
Fog, 617.79,8,P{V*4BZ}EO,1367,On
Sky, 978.63,5,J{K*9NY}KQ,479,On
Fog, 555.31,8,Z{E*5ON}CY,1763,Off
Rain, 709.90,8,R{J*4LT}VZ,2145,On
Breeze, 630.76,5,T{P*6VW}EJ,1007,On
Cloud, 957.51,7,I{N*0JH}AV,1133,On
Cloud, 465.66,7,UmS*1SQ}EJ,1566,On
Hail,1172.56,8,N{G*2NJ}CE,1969,On
Cloud,  50.74,24,Q{S*8VO}IV,1659,Off
Sleet, 613.06,15,W{P*8WV}OT,793,On
Breeze, 464.50,7,E{B*4XX}BS,458,On
Moon, 843.56,5,W{G*6SJxUW,143,On
Shower,1092.04,8,Q{Q*6LK}CR,18,On
Snow,1172.53,19,P{B*1WBIF,120,On
Fog, 212.51,20,V{C*7GZ}SY,2083,On
Wind, 348.09,5,F{L*4Cz}QH,2184,On
Fog, 761.58,6,P{Q*8SK}OH,58,On
Shower, 874.81,5,K{H*3WD}DQ,426,On
Sleet, 843.12,7,M{Y*6ES}LT,1042,On
Shower, 985.80,8,F{G*2NT}EO,2066,Off
Snow, 472.40,6,L{P*8MM}ZT,2189,On
Rain, 933.37,8,X{O*0EE}GL,1718,On
Fog, 438.16,8,V{Z*9OQ}KH,1691,On
Fog, 728.73,13,R{K*9VX}MR,424,On
Cloud,1095.56,5,E{K*6XZ8TG,1387,On
Fog, 609.85,5,E{U*8XE}GX,1061,On
Breeze,1208.65,10,W{P*5BY}WQ,822,On
Sky,1050.63,8,F{G*4PG}WZ,2152,Off
Fog, 871.18,6,T{J*4CD}UP,1514,On
Shower, 300.48,14,R{F*3YV}XQ,607,On
Cloud,1005.46,6,S{O*4OB}OR,717,On
Fog, 574.39,5,L{I*0IF}IQ,454,Off
Fog, 532.81,7,F{F*8AM}OM,2220,On
Fog, 786.31,20,G{F*0HV}DI,2289,Off
Fog, 697.25,8,O{Q*2HF}HK,861,On
Sleet, 677.83,13,R{L*5LW}MM,2204,Off
Fog, 291.22,11,M{J*7IH}BX,1260,On
Sleet, 289.23,9,Q{J*9MI}NY,1416,On
Shower, 388.78,6,F{Z*7FO}PK,1649,On
Cloud, 941.67,7,K{U*8LU}DO,1246,Off
Fog,1151.21,21,W{F*6EG}IZ,1263,On
Cloud,1074.68,5,AU*2TU}NF,663,On
Wind, 871.15,5,O{P*8NR}NK,1855,On
Moon, 723.54,8,J{N*5LG}WB,1801,On
Rain, 791.44,6,E{Q*0WY}PB,1447,On
Sun, 909.14,8,O{F*8UM}DV,1853,On
Snow, 756.12,5,U{M*5QU}JU,1470,On
Snow, 848.41,17,C{Q*5EU}QE,765,On
Breeze, 578.63,7,N{M*4SX}FS,2189,On
Snow, 960.66,13,F{A*6EK}ML,847,On
Moon, 348.41,9,J{P*3IK}VG,1948,On
Hail, 522.22,8,M{K*3CA}TZ,229,On
Snow,  48.70,7,D{K*0MK}BN,256,On
Breeze, 349.58,19,JA*7PU}KN,1874,On
Sleet,1131.71,8,X{O*EQX}ZB,716,On
Rain, 724.21,6,Y{2*2NQ}KM,1927,On
Cloud, 939.50,24,V{A*4NQ}CT,1622,On
Breeze, 849.90,5,Q{Z*9DC}JT,878,On
Fog, 854.45,8,U{K*1FE}CD,1792,On
Moon,1180.95,7,I{X*4FP}UN,717,On
Sun, 935.66,7,Y{E*0WC}BG,295,On
Fog, 285.16,6,G{N*6WN}QN,1779,On
Shower, 947.74,7,G{S*0SV}VZ,1430,On
Sun, 607.29,5,L{F*9IS}JS,144,On
Wind, 359.22,15,M{X*6HG}RH,468,On
Fog, 819.08,19,K{K*I2DQ}FH,2074,On
Sleet, 302.96,8,J{R*5IM}XO,1513,On
Fog, 798.94,5,L{N*3BY}RY,344,On
Cloud, 719.85,6,E{V*1YS}OF,1806,On
Breeze, 312.92,7,L{B*4EK}DU,1464,On
Rain, 771.00,5,A{V*3SK}HD,1356,On
Cloud, 160.10,20,S{A*qYI}IO,2211,Off
Mist,1100.06,17,Q{C*1VM}AR,2137,Off
Sun, 921.96,17,H{O*2US}MC,2057,On
Fog,1016.67,7,K{X*3HWM}UK,1601,On
Fog,1039.24,8,U{Q*5SN}HD,736,On
Moon, 879.81,7,J{I*8VT}TK,2195,On
Rain, 389.25,10,U{QX0UH}NJ,1829,On
Fog,  22.79,6,G{]*2DE}EG,1363,On
Cloud, 449.48,8,I{L*4ZH}UE,1375,On
Fog, 631.11,7,E{O*9IM}BV,2262,Off
Sun, 680.24,7,L{T*0DS}OD,2209,On
Wind, 887.65,9,A{A*7GV}ZV,1495,On
Sleet, 879.52,8,J{R*3BE}CS,1631,On
Shower,1216.70,8,R{N*2KP}X,849,On
Rain, 671.28,8,Q{U*0GJ}RV,885,On
Cloud,1109.17,7,J{U*8TR}ON,846,On
Wind, 824.87,6,J{Q*9YT}PC,1227,On
Wind, 661.84,5,T{C*=OB}UV,2217,On
Breeze, 977.97,8,O{Y*9AW}HX,1743,On
Cloud,1159.89,15,S{F*3TL}BU,2275,On
Fog, 746.23,5,B{A*1O}XD,1974,On
Sun, 264.12,8,{H*0PZ}GY,374,On
Hail,1067.79,6,K{F*0GSv}PG,127,On
Rain, 546.66,5,G{K*5XT}JR,1591,On
Fog, 717.57,5,U{B*3UW}RB,1704,On
Mist, 628.05,6,K{X*1LQ}VZ,1736,On
Cloud, 846.48,7,C{W*3FG}DK,1221,On
Rain, 885.79,8,N{C*5DS}AV,939,Off
Wind, 899.18,8,H{X*8AW}SR,2128,On
Wind, 265.71,5,7{B*4HZ}CZ,822,On
Fog,1163.19,23,G{N*6QJ}zNI,1391,On
Wind, 808.23,8,H{O*3YM}BJ,2205,On
Sleet, 757.69,23,F{Z*2HV}MP,2030,On
Snow, 291.35,14,R{M*8SC}EC,2192,On
Breeze,  63.93,6,L{P*2EI}KE,866,On
Snow, 309.73,5,W{V*8GV}UA,384,On
Breeze, 496.51,6,A{X*8QM}UE,2152,On
Fog, 907.18,7,X{H*9RY}MF,1803,On
Breeze, 880.94,18,A{Y*9ZE}NH,914,On
Rain, 670.04,8,I{H*0CM}EZ,1610,On
Rain, 482.79,6,Z{X*1QX}LT,1933,On
Fog, 296.01,6,G{J*8KT}JG,1477,Off
Sleet, 850.04,5,H{K*6YU}EV,906,On
Cloud, 485.18,7,V{S*9UW}DX,1941,On
Snow,1065.32,7,Z{8*9JQ}LO,2002,On
Hail, 686.85,8,J{D*2XP}NM,1495,On
Sun, 638.72,6,T{J*8VB}NS,2046,On
Snow, 207.96,19,S{L*5P8}WZ,1162,On
Wind,1045.21,23,P{Y*8TV}IW,765,Off
Cloud, 446.60,16,R{S*1WO}XJ,1845,On
Snow, 928.65,7,R{T*4NR}FC,641,On
Moon,1033.10,8,N{*0DG}HO,509,On
Sleet, 705.31,5,A{N*8QB}YC,1307,On
Cloud,1027.25,7,T{N*7RZ}9F,1707,On
Cloud, 319.67,7,Y{H*5JX}UB,345,On
Moon,1211.12,5,O{H*1PJ}UG,228,On
Fog, 510.08,7,Q{R*3SL}CT,1474,On
Hail,  10.29,24,W{D*6SZ}XI,1306,On
Snow,1169.81,6,T{R*4PA}NM,2147,On
Snow, 801.34,20,U{R*QZC}CX,1867,On
Sun,1014.21,5,TvP*9BU}MB,1479,On
Rain, 842.15,8,C{F*6HD}HL,413,On
Snow,1126.71,24,B{A*4CM}PZ,2010,On
Fog,  25.84,22,V{I*4IP}AW,2032,On
Snow, 141.63,8,Z{S*4UC}YS,1894,On
Fog,  84.66,22,U{L*5MHeCB,1606,On
Sky, 344.32,13,E{C*7RR}QT,485,On
Sky, 337.40,7,N{J*8HK}RX,2244,On
Moon, 515.29,8,E{Y*ITC}QK,1960,Off
Hail,1026.18,8,P{N*1LG}SJ,139,On
Fog,1077.72,7,M{O*3TM}GS,1554,On
Rain, 990.19,8,F{F*6SD}PR,1785,On
Hail, 305.38,5,O{L*0QV}IT,55,On
Cloud,1117.54,7,F{U*2OJ}RN,1855,On
Fog, 395.03,18,E{Wb5IA}AA,989,On
Sun,1040.69,17,U{P*3FE}QK,1520,Off
Cloud, 982.03,8,L{S*6XN}CY,1116,On
Rain, 815.67,17,B{E*9RJ}SD,2254,On
Breeze, 554.83,8,W{I*1KR}VP,1902,On
Rain,1119.55,8,X{Y*4MS}UU,2030,On
Cloud,1092.47,6,N{Z*4KJ}ZJ,380,On
Breeze, 825.89,5,O{M*4SB}JT,290,On
Rain,1150.49,22,G{N*1CM}SQ,1220,On
Hail, 660.62,23,W{N*2YD}CT,741,Off
Snow, 213.81,8,A{W*8SY}ET,296,On
Cloud, 542.42,8,Y{H*1NI}EZ,142,On
Sun, 641.11,5,R{O*5CR}SZ,1825,On
Rain, 899.05,6,A{N*5OC}HP,868,On
Sun, 328.25,9,R{Y*3RE}TI,2273,On
Shower,1140.10,5,O{X*1DZ}UX,336,On
Breeze, 332.44,6,K{B*4NK}WE,1660,On
Shower, 605.49,8,R{T*6VA}JX,384,Off
Rain, 286.97,5,&{Z*2ZA}DQ,652,Off
Wind, 583.93,6,I{M*7QS}DR,2294,Off
Sun, 884.15,6,O{B*7HN}UE,2200,On
Breeze, 589.25,21,YY*9TA}OF,156,On
Sun,1123.87,5,D{B*2OF}CJ,1626,On
Wind, 698.33,6,V{S*4RA}VL,192,On
Fog, 505.73,8,C{G*4UJ}XU,2229,On
Shower, 606.53,8,B{N*9EN}KJ,434,On
Sleet,1118.89,8,Q{I*7RO}SI,2012,On
Shower, 796.50,7,A{R*0ZV}GS,1958,On
Rain,  53.57,6,4{K*7RY}CP,1726,On
Fog,  23.74,8,P{Y*8VU}VS,993,On
Rain, 823.08,5,L{D*nWJ}WE,1529,On
Snow, 724.83,22,U{V*7VH}GU,1567,On
Sky,1063.06,10,F{A*6NA}EI,1600,On
Snow, 896.46,14,X{P*2AF}JR,596,On
Fog, 178.94,24,R{M*2NA}DA,1460,On
Sky, 511.79,6,N{B*7DT}>FY,1742,On
Cloud, 996.63,7,D{B*5AN}YD,1607,On
Fog,  16.12,8,W{G*2BS}EI,2027,On
Sun, 340.00,8,F{7*7MM}GW,2162,On
Rain, 270.09,7,Q{H*1TP}DH,1648,On
Wind, 973.85,7,D{D*7WV}YR,1690,On
Fog, 153.90,8,P{O*3UE}GA,1028,On
Moon, 991.86,5,N{J*bAO}DQ,1768,On
Moon, 870.80,13,C{A*1QE}EI,1749,On
Rain, 232.99,6,I{P*8DS}NU,2062,On
Fog, 610.54,5,H{A*7TY}XC,1894,On
Breeze, 398.61,5,M{P*5NI}PE,1859,On
Rain, 678.00,8,W{K*8WX}XX,1152,On
Sun, 571.21,5,Y{P*9YD}IP,1815,On
Rain, 846.23,6,F{Q*1QM}LU,1032,On
Cloud, 625.26,5,B{Zt0EY}MC,1557,On
Fog, 698.00,7,M{A*3Pu}TG,345,Off
Sleet,1074.50,14,W{W*1RO}OF,1849,On
Breeze, 757.95,16,F{P*3QU}AN,319,On
Sun, 912.53,17,G{R*8UG}DO,982,On
Breeze, 517.58,8,B{*2YF}CA,2183,On
Mist, 478.94,5,B{A*7DI4MS,2186,On
Sleet,1053.73,11,O{U*1GA}US,1873,On
Snow,1110.06,7,G{C*2DP}KN,1803,On
Fog, 930.43,6,E{L*5GK}XA,1754,On
Sun, 661.51,5,H{E*2SF}RA,2073,On
Cloud, 437.32,6,Y{Y*0CE}FQ,1118,On
Cloud, 756.35,8,Q{p*8KJ}PO,1693,On
Cloud, 536.29,5,O{T*9GA}FW,2057,On
Cloud, 371.71,5,R{O*3QN}WE,1381,On
Breeze, 621.63,8,G{A*6RS}YW,1802,On
Sleet, 291.98,14,H{N*6LL}BB,1818,On
Mist, 890.22,22,Z{J*4DK}YU,1289,On
Shower,1105.24,6,Z{H*8ZR}VL,2269,Off
Sun, 226.52,6,P{X*5EU}YS,1968,On
Shower, 536.21,8,J{L*0HD}NX,1860,Off
Hail, 777.02,17,I{E*CM}CO,1158,On
Sky, 941.21,8,M{R*4KJ}LB,1433,On
Rain,1138.28,14,G{R*4CB}1P,2156,On
Fog, 452.42,5,A{C*5EX}ZO,157,On
Sleet, 296.97,8,H{M*7W2}HL,1400,On
Cloud, 594.12,5,O{O*2BO}PO,1704,On
Hail,1217.08,11,X{P*6BQ}VQ,1489,On
Sky, 711.40,8,J{R*4TC}XW,329,On
Wind, 815.47,6,Y{M*6TH}SD,13,On
Rain, 541.57,21,M{F*5LE}UU,1828,On
Sun, 946.95,7,O{V*6FZ}OZ,2256,On
Snow, 930.05,7,N{B*5VL}HX,1803,On
Sleet, 376.25,6,Z{P*7ZX}CK,1513,On
Wind, 744.31,6,J{Q*2HO}SN,1489,On
Fog, 321.04,17,H{M*0BJ}XS,461,Off
Rain, 520.74,13,4{C*1OT}YI,1787,Off
Breeze,1067.84,18,X{L*1GZ}HI,2115,On
Sun, 240.31,5,J{B*6NI}TU,1698,On
Moon, 499.70,6,O{V*2RX}BL,265,On
Rain, 564.33,7,K{X*0XS}VO,2262,On
Hail,1065.44,11,M{B*2SV}YM,1322,On
Snow, 856.21,8,D{E*8YS}TI,1569,On
Breeze, 479.81,21,L{X*0VF}TG,1078,On
Breeze, 830.87,17,J{Y*4KT}KC,1641,On
Shower, 990.40,5,U{Q*4VR}AW,1482,On
Rain, 771.79,23,H{Q*1WM}YO,1488,On
Rain, 242.61,7,C{M*3YJ}CD,2235,On
Wind, 865.77,5,JmU*1WT}GH,132,On
Sun, 505.16,8,S{X*5NJ}EB,2169,On
Wind,  14.93,7,{J*9PY}QZ,2121,On
Cloud, 947.39,22,A{H*6ZT}JU,2265,On
Shower, 740.54,5,X{U*0NS}7PJ,1941,On
Snow,1125.38,8,B{U*4QO}ZC,2162,On
Fog, 411.49,9,V{K*9SS}QH,2064,On
Cloud, 751.91,6,L{M*6DM}OH,1228,On
Sun, 278.32,22,E{M*5XQ}DD,1730,On
Cloud,1079.51,8,V{C*0YS}DA,2201,On
Snow,1199.40,7,T{D*3II}XK,102,On
Wind, 889.34,5,E{H*7JZ}JA,1944,On
Fog, 159.71,8,S{U*6TC}GU,683,On
Hail,1075.71,8,Q{R*1UZ}GT,2229,On
Sun, 842.16,24,S{L*9UN}SJ,473,On
Fog,1128.88,8,I{K*1SY}ER,1731,On
Moon, 883.53,5,A{O*LCL}WA,576,On
Mist, 863.94,5,T{D*0FT}WA,1510,On
Wind,  81.41,6,T{L*5GD}YD,1826,On
Cloud,1189.13,5,D{Y*9GS}XR,2080,On
Snow,1078.25,5,K{K*7DU}EB,1274,Off
Snow,1079.59,5,O{Q*1DT}IW,1289,On
Hail, 208.45,23,R{Q*1TS}YJ,1421,On
Sleet,1182.09,5,Q{R*7DN}yA,849,On
Snow, 745.20,5,C{P*4FN}GW,1804,Off
Shower,  84.57,5,I{V*1EC}GK,1669,On
Breeze, 870.47,8,K{R*9GS}JL,2299,On
Wind, 505.06,7,I{D*8PD}WA,1382,On
Hail,  39.02,7,Y{Y*4NF}JF,243,On
Sun, 129.68,17,C{Q*SN}RE,218,Off
Sun,1085.33,10,L{E*0PD}BJ,1441,On
Sun,  96.25,5,L{I*(YQ}DK,1329,On
Breeze, 735.64,14,P{A*8ZV}FY,1393,On
Fog,1180.68,7,I{O*8VR}SM,1560,On
Fog,1192.52,6,M{J*1RE}TE,2157,On
Hail, 882.62,8,B{Q*BMC}LJ,1923,On
Breeze, 736.90,8,G{X*1CQ}5F,251,On
Wind, 210.90,16,T{H*4VB}UZ,1521,On
Fog,1038.08,7,X{Q*6SC}ZG,660,On
Mist, 890.39,7,A{V*4YX}IT,1628,On
Breeze, 648.65,5,*{S*3UI}PL,2168,On
Wind, 262.87,7,K{Y*3BZ}NH,358,On
Snow, 219.65,8,J{N*4H2}IU,2130,On
Sun,1056.35,8,J{W*5UA}WE,615,On
Shower, 116.93,8,V{T*8RM}MI,1967,On
Cloud, 506.80,6,K{B*8YW}JD,1993,On
Hail,   7.90,5,G{N*3NH}ST,1925,On
Breeze, 843.52,6,T{B*1FR}YS,2002,On
Sun, 994.79,14,X{A*0KH}PJ,2019,On
Shower,  22.03,7,D{G56UE}TK,2063,On
Rain, 927.30,8,M{J*6SL}RA,1685,On
Rain, 435.44,5,U{T*7JD}VE,655,On
Sleet, 498.98,5,D{N*2FS}GT,1747,On
Fog, 481.72,5,F{1*9PD}KI,124,On
Sleet,1092.31,7,B{P*8NK}KC,5,On
Mist, 306.73,8,F{D*1WN9JY,639,Off
Breeze, 694.95,6,T{G*0AP}PR,1844,Off
Rain, 124.77,6,R{G*9IR}JU,616,On
Fog, 912.90,7,Z{D*8BC}GW,1588,On
Hail,1050.45,8,I{Z*5MY}UX,2179,On
Breeze, 133.04,7,X{N*0OM}MN,1412,On
Cloud, 903.65,8,C{Z*3DD}WV,1743,On
Fog,  16.96,7,E{G*5Ju}CK,1379,On
Snow,1213.96,6,D{Y*8QA}MI,1834,On
Sleet, 679.34,5,A{X*4RU}KI,1263,On
Rain, 704.85,7,I{C*6XO}DI,1697,On
Breeze, 108.58,5,T{I*2GP}LJ,1105,Off
Sleet, 417.24,17,C{VG*9RR}EU,2069,On
Fog, 990.14,6,N{U*4ZY}VR,1814,Off
Wind, 614.68,7,Z{E*3SS}AU,2113,On
Sky,1008.80,5,WrN*8PK}PW,1911,On
Shower, 847.39,6,H{O*4EX}GE,2190,On
Snow, 837.75,9,C{I*6EE}DS,1086,On
Fog, 434.59,8,X{H*8WM}OK,1619,On
Cloud, 102.93,7,M{A*0UL}NQ,287,On
Wind,1031.07,18,U{H*7NC}QY,2285,On
Sky, 782.41,6,I{Y*9NU}SG,383,Off
Fog, 369.73,7,J{E*1BY}FA,1704,On
Mist, 390.50,8,Y{L*6TJ}OK,1019,Off
Cloud,  91.38,7,F{F*0JV}HF,1864,On
Fog, 755.30,5,T{3*4CO}EP,1237,On
Wind,1034.50,5,X{R*9FT}XL,1559,On
Fog, 737.41,5,A{L*8AP}RL,1081,On
Rain, 358.71,5,Q{C*5YV}P,238,On
Hail,1202.88,10,P{A*1QT}CA,1774,On
Shower,  82.30,7,X{Q*8UT}CJ,1501,On
Rain,1049.60,6,W{T*4NP}UR,844,On
Rain, 877.08,10,E{B*6II}VZ,1957,On
Fog,1115.17,8,U{E*2KE}WZ,876,Off
Rain,  34.07,8,M{M*0OB}IL,1002,Off
Mist, 412.09,8,S{L*2ON}YF,1906,Off
Snow, 436.33,8,C{J*3YU}LP,286,On
Cloud,1166.94,6,K{X*4SJ}IA,1500,On
Sun,1023.78,8,M{V*2XO}ZM,1572,On
Hail, 117.44,8,WPN*1VH}GO,1401,Off
Rain, 123.99,8,E{N*7VI}BG,1672,On
Sleet,  17.58,6,V{N*2NE}RR,812,On
Cloud, 864.56,6,P{Y*1MS}TC,2126,On
Cloud, 698.96,7,U{F*3FI}DP,2265,On
Fog, 795.30,5,J{H*9AD}CX,1982,On
Rain, 921.42,6,Y{H*5SR}LR,2246,On
Wind, 550.46,15,Y{3*5EX}OT,1748,On
Rain,1023.82,6,A{R*7DB}JI,2238,On
Breeze, 482.29,7,D{M*1YT}GL,1904,On
Cloud, 966.09,17,P{N*8AD}LT,325,On
Shower,1097.53,19,T{M*2OK}KD,1376,On
Breeze, 892.03,8,S{N*2VR}MA,961,On
Cloud, 945.90,5,O{Q*9BG}ZE,1933,On
Fog, 944.42,14,R{N*7GB}BU,1813,On
Wind, 574.91,8,K{W*9BI}BK,1790,Off
Cloud, 641.08,6,R{F*2ZF}IM,223,On
Shower, 988.38,7,F{L*8EO}ZF,1581,On
Fog, 613.30,7,J{Yu5YG}GR,1528,On
Sun, 497.15,21,O{L*9ZW}KI,21,Off
Sun, 606.58,5,E{B*0UW}HL,762,On
Cloud, 591.14,5,H{R*5HU}QN,501,On
Fog, 896.70,6,J{A*0WJ}CG,1722,On
Fog, 935.73,7,I{N*9ZV}XZ,1720,Off
Wind,1196.67,5,C{L*9CL}CX,1599,On
Sun,  85.70,9,X{P*7JFXX,633,On
Rain, 633.29,8,O{K*8UA}BK,323,On
Cloud, 358.58,5,A{V*8BS}SS,2145,Off
Wind, 179.84,7,D{O*9EY}LC,2005,On
Rain, 885.76,8,H{Q*0QD}GB,740,On
Wind, 377.40,5,M{P*1KC}XK,1833,On
Sleet,1119.05,5,G{G*8CH}TT,1842,On
Rain, 599.08,14,T{L*0XX}PN,1586,On
Fog, 671.46,5,T{I*8SD}IW,1960,Off
Sleet, 966.61,8,E{O*9FF}IJ,1962,Off
Shower, 675.10,5,Y{A*1WB}CB,714,On
Fog,1183.85,18,X{J*8TI}UL,1900,On
Rain, 288.17,11,U{W*7NH}QD,1028,On
Fog, 358.70,6,O{B*5NN}OX,1993,Off
Cloud, 810.35,14,G{Y*6HR}CU,1813,Off
Rain, 438.74,7,0{B*0GO}TH,903,On
Rain, 895.62,20,R{C*6YB}ZF,1727,On
Fog,1030.28,5,C{R*5ES}HO,2172,On
Sleet,1074.07,6,B{P*1IA}CI,1342,On
Fog, 578.56,20,H6F*2TA}EI,2226,On
Fog, 991.15,8,E{F*7RY}RZ,1987,On
Wind, 879.84,6,A{R3OG}JR,2090,On
Fog, 118.29,7,A{X*3LL}TJ,1350,On
Breeze, 738.69,22,Y{D*1VY}ST,2255,Off
Moon, 912.01,5,G{D*8VE}NP,593,Off
Snow, 862.42,6,U{O*6US}QP,1674,On
Wind,  27.96,6,D{G*5IT}JI,638,On
Sleet, 535.62,6,F{G*8DT}AB,570,On
Sun, 755.54,6,K{wU*1AU}FD,2236,On
Sun,1189.70,22,G{H*3AT}TV,1567,On
Fog,1074.85,5,R{Y*3YO}MB,1800,On
Hail,1177.00,5,R{G*4JW}#XY,2295,On
Wind, 172.27,7,G{X*9VV}VF,2093,On
Sun, 769.46,5,W{U*9VC}NI,106,On
Rain,1143.02,5,4{X*4UP}EY,1757,On
Cloud,1191.85,5,B{X*9XQ}AG,2174,On
Snow, 702.00,8,J{9*3MJ}RK,518,On
Fog, 965.69,7,2Y{F*3PS}ST,1368,On
Fog,1048.00,5,L{I*3HA}AW,236,On
Rain, 660.76,6,H{L*5OD}CA,954,Off
Fog, 923.93,6,N{F*2RT}ID,2295,Off
Shower, 794.02,8,F{O*2AJ}BC,1989,Off
Shower, 966.16,7,P{M*9KQ}BR,816,On
Shower,  39.51,6,Y{E*6PB}WP,2170,On
Hail, 385.12,6,E{W*7FU}QZ,1730,On
Rain, 779.34,6,A{5*8TR}VC,851,On
Fog, 188.27,6,%{R*8KX}MY,1397,On
Fog,1025.74,5,Q{7*7YD}UW,991,On
Sun, 950.94,21,R{Y*1NQ}GX,1585,On
Mist, 167.92,6,Y{N*4MH}OX,359,On
Snow, 492.59,16,C{U*8YR}ZQ,1943,On
Sun, 566.85,15,W{S*9IF}II,113,On
Shower, 889.97,8,R{J*5Ot}LH,1461,On
Sun, 961.14,6,L{N*7VN}XC,1945,On
Breeze, 160.73,6,S{M*0BI}4I,439,On
Snow,1022.90,19,N{J*1XV}LU,497,On
Rain,1085.52,6,H{R*2NK}ZN,1723,On
Moon, 215.43,8,L{K*3XT}RQ,1741,On
Shower,1098.27,8,K{Q*9ZA}XV,2211,On
Cloud, 914.47,7,M{Y*0MT}UN,2062,Off
Wind,1162.54,8,H{M*0RK}UV,1638,On
